Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
580000,4.2461066,2.2714288,80.45098039215686,80.45098039215686,201.84313725490196,1.0
590000,4.1027217,2.2477627,82.0,82.0,200.60377358490567,1.0
600000,4.3327875,2.2353044,87.2127659574468,87.2127659574468,197.22916666666666,1.0
610000,4.582619,2.2117383,84.51020408163265,84.51020408163265,198.52083333333334,1.0
620000,3.9528637,2.2090194,82.93478260869566,82.93478260869566,200.29787234042553,1.0
630000,5.09345,2.1804652,81.58,81.58,198.44897959183675,1.0
640000,5.5314336,2.1601477,81.32075471698113,81.32075471698113,201.0943396226415,1.0
650000,5.425278,2.1212804,80.92156862745098,80.92156862745098,197.72549019607843,1.0
660000,5.687703,2.1394935,81.21153846153847,81.21153846153847,197.65384615384616,1.0
670000,5.6152873,2.1808662,79.48936170212765,79.48936170212765,201.46808510638297,1.0
680000,5.0349536,2.1938763,80.5,80.5,200.5625,1.0
690000,5.955396,2.1647058,80.72,80.72,201.76,1.0
700000,5.6938663,2.1796181,81.9795918367347,81.9795918367347,199.46938775510205,1.0
710000,6.1640496,2.1432338,75.70588235294117,75.70588235294117,203.52941176470588,1.0
720000,6.176711,2.1144729,79.2,79.2,200.5,1.0
730000,6.085705,2.0997,74.38,74.38,206.88,1.0
740000,5.367536,2.0809216,78.13636363636364,78.13636363636364,206.0909090909091,1.0
750000,5.7557015,2.0932348,75.93617021276596,75.93617021276596,203.8695652173913,1.0
760000,5.810782,2.0927496,76.51020408163265,76.51020408163265,204.2941176470588,1.0
770000,6.097026,2.0929844,58.979166666666664,58.979166666666664,216.69565217391303,1.0
780000,5.613353,2.0889106,57.13333333333333,57.13333333333333,218.86274509803923,1.0
790000,6.9563713,2.0633957,79.91836734693878,79.91836734693878,203.45238095238096,1.0
800000,7.2303653,2.042056,82.08,82.08,201.4,1.0
810000,7.3772054,2.0761693,82.1875,82.1875,201.25,1.0
820000,7.1656194,2.044256,79.67307692307692,79.67307692307692,202.96153846153845,1.0
830000,7.9048514,2.0403101,80.01923076923077,80.01923076923077,200.94230769230768,1.0
840000,6.841876,2.044494,81.1063829787234,81.1063829787234,200.47916666666666,1.0
850000,7.117386,2.0619392,84.20833333333333,84.20833333333333,197.87234042553192,1.0
860000,7.6071944,2.064261,81.63265306122449,81.63265306122449,201.44897959183675,1.0
870000,7.6646376,2.0038972,82.46938775510205,82.46938775510205,200.46938775510205,1.0
880000,8.191514,2.0024931,87.57692307692308,87.57692307692308,197.71698113207546,1.0
890000,8.002977,1.9623379,89.33962264150944,89.33962264150944,195.16666666666666,1.0
900000,8.760715,1.9263914,86.35849056603773,86.35849056603773,197.3921568627451,1.0
910000,7.793794,1.9671965,87.85106382978724,87.85106382978724,195.51063829787233,1.0
920000,8.190196,1.9858235,83.7,83.7,201.0612244897959,1.0
930000,8.055681,1.9777721,84.7,84.7,198.08,1.0
940000,8.702744,1.9593213,88.07843137254902,88.07843137254902,199.52,1.0
950000,8.870748,1.9723098,87.76,87.76,197.92,1.0
960000,8.628181,1.9872797,87.40816326530613,87.40816326530613,200.12244897959184,1.0
970000,8.441464,2.0000265,86.98039215686275,86.98039215686275,198.72549019607843,1.0
980000,8.584251,1.9632438,82.44,82.44,199.92,1.0
990000,8.437083,1.9699733,85.6875,85.6875,198.41666666666666,1.0
