Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1530000,0.53251016,0.013645858,191.1346153846154,-0.03828760338764565,-0.03828760338764565,1.0
1540000,0.48581004,0.0021680247,231.08510638297872,-0.1763194779244562,-0.1763194779244562,1.0
1550000,0.48870736,0.006677749,191.47169811320754,0.007465378152874281,0.007465378152874281,1.0
1560000,0.533899,0.010229921,160.0,0.0871817943724719,0.0871817943724719,1.0
1570000,0.5207098,0.01378285,208.55769230769232,-0.08066669464684449,-0.08066669464684449,1.0
1580000,0.5618018,0.022686759,161.64814814814815,0.06927158324806779,0.06927158324806779,1.0
1590000,0.41423106,0.008362185,217.40816326530611,-0.018755131534167697,-0.018755131534167697,1.0
1600000,0.4892958,0.022627927,187.0392156862745,0.13756860106014737,0.13756860106014737,1.0
1610000,0.49727252,0.02067308,200.3125,-0.029951419526090223,-0.029951419526090223,1.0
1620000,0.44609553,0.030660484,210.8148148148148,-0.0533333589081411,-0.0533333589081411,1.0
1630000,0.5294176,0.040089298,178.05769230769232,0.07844228512392594,0.07844228512392594,1.0
1640000,0.49160445,0.03278688,185.58,0.026713307946920395,0.026713307946920395,1.0
1650000,0.5054128,0.02024279,226.81632653061226,-0.03956465620775612,-0.03956465620775612,1.0
1660000,0.4823172,0.027586589,188.19607843137254,0.04901304665733786,0.04901304665733786,1.0
1670000,0.49629217,0.01682035,188.44444444444446,0.04701231723582303,0.04701231723582303,1.0
1680000,0.47413605,0.015444184,245.52777777777777,-0.11626854373349084,-0.11626854373349084,1.0
1690000,0.50556564,0.024466526,203.07272727272726,-0.043975341513201045,-0.043975341513201045,1.0
1700000,0.5330179,0.023811473,215.97619047619048,-0.13768995258697245,-0.13768995258697245,1.0
1710000,0.49120158,0.024645692,216.0,-0.012601482641437779,-0.012601482641437779,1.0
1720000,0.55467755,0.0191535,189.98,0.06188664004206657,0.06188664004206657,1.0
1730000,0.45396662,0.011468493,240.95238095238096,-0.03691273253588449,-0.03691273253588449,1.0
1740000,0.46266556,0.014969222,211.58823529411765,-0.16260787260298634,-0.16260787260298634,1.0
1750000,0.5237373,0.0139084775,217.14893617021278,0.0889432281255722,0.0889432281255722,1.0
1760000,0.49449623,0.013224983,216.90243902439025,0.06851216260252929,0.06851216260252929,1.0
1770000,0.512168,0.020721395,215.0,0.04140132969739486,0.04140132969739486,1.0
1780000,0.45812666,0.02006661,191.69387755102042,0.015379971116781235,0.015379971116781235,1.0
1790000,0.4806795,0.016866961,192.5185185185185,-0.0481111386583911,-0.0481111386583911,1.0
1800000,0.46805337,0.005938772,242.78048780487805,-0.21260979280966083,-0.21260979280966083,1.0
1810000,0.435105,0.006579613,215.2391304347826,0.03458692263001981,0.03458692263001981,1.0
1820000,0.4727402,0.012329476,215.44444444444446,0.0617802788249471,0.0617802788249471,1.0
1830000,0.42566034,0.023299009,211.0204081632653,0.06312242104690902,0.06312242104690902,1.0
1840000,0.49767882,0.03418031,176.73333333333332,-0.005120245770352786,-0.005120245770352786,1.0
1850000,0.49018353,0.035115905,192.3,-0.0826666960120201,-0.0826666960120201,1.0
1860000,0.40204993,0.012254854,177.5,0.13978664234280586,0.13978664234280586,1.0
1870000,0.4113967,0.0011902925,223.6304347826087,-0.13195038935605516,-0.13195038935605516,1.0
1880000,0.4350964,0.006985694,222.32,-0.10218058728302519,-0.10218058728302519,1.0
1890000,0.41080526,0.0036932637,218.375,0.062158700610910146,0.062158700610910146,1.0
1900000,0.41713765,0.010309728,196.76470588235293,-0.03244233675874197,-0.03244233675874197,1.0
1910000,0.35605103,0.008689358,266.9,-0.35673337057232857,-0.35673337057232857,1.0
1920000,0.46923158,0.017694708,188.21153846153845,0.04078202393765633,0.04078202393765633,1.0
1930000,0.48859313,0.018097939,177.7962962962963,0.101734543564143,0.101734543564143,1.0
1940000,0.41159505,0.018003292,197.24528301886792,0.03744651335027983,0.03744651335027983,1.0
1950000,0.41475004,0.028495066,208.0,-0.08250357416716028,-0.08250357416716028,1.0
1960000,0.45418453,0.037191235,156.9016393442623,0.0363386895868086,0.0363386895868086,1.0
